atomic number,element,element name,major isotope,isotope,atomic mass,mass,mass uncertainty,mass source year,mass source,abundance,abundance low,abundance high,abundance uncertainty,abundance kind,abundance source,standard,notes
48,Cd,cadmium,114Cd,111Cd,111,110.904183776,3.83e-07,2020,AME2020,0.12794999999999998,,,0.00012000000000000002,value,CIAAW 2024,CIAAW 2024,
48,Cd,cadmium,114Cd,112Cd,112,111.902763896,2.68e-07,2020,AME2020,0.24108999999999994,,,7.000000000000001e-05,value,CIAAW 2024,CIAAW 2024,
48,Cd,cadmium,114Cd,113Cd,113,112.904408105,2.62e-07,2020,AME2020,0.12226999999999998,,,7.000000000000001e-05,value,CIAAW 2024,CIAAW 2024,
48,Cd,cadmium,114Cd,114Cd,114,113.903364998,2.96e-07,2020,AME2020,0.28753999999999996,,,0.0008100000000000001,value,CIAAW 2024,CIAAW 2024,
48,Cd,cadmium,114Cd,116Cd,116,115.90476323,1.72e-07,2020,AME2020,0.07511999999999999,,,0.00054,value,CIAAW 2024,CIAAW 2024,
49,In,indium,115In,113In,113,112.904060451,2.02e-07,2020,AME2020,0.04281,,,0.0005200000000000001,value,CIAAW 2024,CIAAW 2024,
49,In,indium,115In,115In,115,114.903878772,1.2e-08,2020,AME2020,0.95719,,,0.0005200000000000001,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,112Sn,112,111.904824894,3.15e-07,2020,AME2020,0.009700000000000002,,,0.0001,value,CIAAW 2024,CIAAW 2024,g
50,Sn,tin,120Sn,114Sn,114,113.90278013,3.1e-08,2020,AME2020,0.006600000000000001,,,0.0001,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,115Sn,115,114.903344695,1.6e-08,2020,AME2020,0.0034000000000000002,,,0.0001,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,116Sn,116,115.901742825,1.03e-07,2020,AME2020,0.14540000000000003,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,117Sn,117,116.902954036,5.18e-07,2020,AME2020,0.07680000000000001,,,0.0007,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,118Sn,118,117.90160663,5.36e-07,2020,AME2020,0.24220000000000003,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,119Sn,119,118.903311266,7.78e-07,2020,AME2020,0.08590000000000002,,,0.0004,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,120Sn,120,119.902202557,9.87e-07,2020,AME2020,0.32580000000000003,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,122Sn,122,121.903445494,2.627e-06,2020,AME2020,0.04630000000000001,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
50,Sn,tin,120Sn,124Sn,124,123.905279619,1.41e-06,2020,AME2020,0.05790000000000001,,,0.0005,value,CIAAW 2024,CIAAW 2024,
51,Sb,antimony,121Sb,121Sb,121,120.903811353,2.69e-06,2020,AME2020,0.5721,,,0.0005,value,CIAAW 2024,CIAAW 2024,g
